Date,AMZN,XLF,Euclidean,Pearson,Cosine,DTW
2019-01-02,76.956497,24.02,3520.628631,0.442241,0.975703,3480.025434
2019-01-03,75.014,23.48,,,,
2019-01-04,78.769501,24.26,,,,
2019-01-07,81.475502,24.290001,,,,
2019-01-08,82.829002,24.309999,,,,
2019-01-09,82.971001,24.43,,,,
2019-01-10,82.810997,24.440001,,,,
2019-01-11,82.028,24.5,,,,
2019-01-14,80.860497,24.67,,,,
2019-01-15,83.727997,24.889999,,,,
2019-01-16,84.189003,25.42,,,,
2019-01-17,84.661003,25.559999,,,,
2019-01-18,84.809998,26.0,,,,
2019-01-22,81.608498,25.700001,,,,
2019-01-23,82.000999,25.73,,,,
2019-01-24,82.746498,25.790001,,,,
2019-01-25,83.528503,26.0,,,,
2019-01-28,81.894501,25.92,,,,
2019-01-29,79.694,25.83,,,,
2019-01-30,83.5215,25.98,,,,
2019-01-31,85.936501,25.940001,,,,
2019-02-01,81.311501,26.049999,,,,
2019-02-04,81.665497,26.16,,,,
2019-02-05,82.940498,26.09,,,,
2019-02-06,82.013,26.059999,,,,
2019-02-07,80.718498,25.799999,,,,
2019-02-08,79.411003,25.67,,,,
2019-02-11,79.550003,25.75,,,,
2019-02-12,81.900497,26.129999,,,,
2019-02-13,82.0,26.200001,,,,
2019-02-14,81.1325,25.879999,,,,
2019-02-15,80.397499,26.43,,,,
2019-02-19,81.378998,26.469999,,,,
2019-02-20,81.105003,26.639999,,,,
2019-02-21,80.972,26.5,,,,
2019-02-22,81.578003,26.459999,,,,
2019-02-25,81.650002,26.57,,,,
2019-02-26,81.82,26.49,,,,
2019-02-27,82.054497,26.59,,,,
2019-02-28,81.991501,26.52,,,,
2019-03-01,83.586502,26.690001,,,,
2019-03-04,84.808502,26.52,,,,
2019-03-05,84.621498,26.42,,,,
2019-03-06,83.447502,26.25,,,,
2019-03-07,81.297501,25.98,,,,
2019-03-08,81.040001,25.969999,,,,
2019-03-11,83.530998,26.24,,,,
2019-03-12,83.654999,26.299999,,,,
2019-03-13,84.540497,26.48,,,,
2019-03-14,84.310997,26.58,,,,
