Date,EFA,CSPX.L,Euclidean,Pearson,Cosine,DTW
2019-01-02,58.66,244.899994,11211.606504,0.708226,0.991358,11211.606504
2019-01-03,58.130001,241.300003,,,,
2019-01-04,59.91,246.139999,,,,
2019-01-07,60.139999,249.259995,,,,
2019-01-08,60.529999,249.479996,,,,
2019-01-09,61.209999,252.899994,,,,
2019-01-10,61.450001,253.070007,,,,
2019-01-11,61.029999,253.240005,,,,
2019-01-14,60.75,252.710007,,,,
2019-01-15,61.07,254.419998,,,,
2019-01-16,61.240002,256.48999,,,,
2019-01-17,61.459999,256.459991,,,,
2019-01-18,62.080002,260.980011,,,,
2019-01-22,61.119999,258.890015,,,,
2019-01-23,61.400002,257.519989,,,,
2019-01-24,61.470001,258.059998,,,,
2019-01-25,62.169998,260.850006,,,,
2019-01-28,61.830002,257.839996,,,,
2019-01-29,61.970001,258.070007,,,,
2019-01-30,62.650002,260.299988,,,,
2019-01-31,62.68,264.279999,,,,
2019-02-01,62.66,265.329987,,,,
2019-02-04,62.889999,265.5,,,,
2019-02-05,63.380001,267.519989,,,,
2019-02-06,63.060001,267.429993,,,,
2019-02-07,62.220001,263.459991,,,,
2019-02-08,62.02,262.850006,,,,
2019-02-11,61.959999,265.290009,,,,
2019-02-12,62.68,268.429993,,,,
2019-02-13,62.689999,269.320007,,,,
2019-02-14,62.709999,268.440002,,,,
2019-02-15,63.619999,271.23999,,,,
2019-02-19,63.860001,272.100006,,,,
2019-02-20,64.040001,272.730011,,,,
2019-02-21,63.91,272.0,,,,
2019-02-22,64.120003,273.700012,,,,
2019-02-25,64.309998,275.519989,,,,
2019-02-26,64.620003,274.51001,,,,
2019-02-27,64.360001,272.950012,,,,
2019-02-28,64.269997,273.660004,,,,
2019-03-01,64.620003,273.869995,,,,
2019-03-04,64.379997,273.73999,,,,
2019-03-05,64.440002,273.859985,,,,
2019-03-06,64.279999,272.540009,,,,
2019-03-07,63.459999,270.040009,,,,
2019-03-08,63.470001,268.029999,,,,
2019-03-11,64.019997,272.230011,,,,
2019-03-12,63.98,274.179993,,,,
2019-03-13,64.529999,276.070007,,,,
2019-03-14,64.519997,275.899994,,,,
2019-03-15,65.220001,277.480011,,,,
2019-03-18,65.449997,277.279999,,,,
2019-03-19,65.580002,279.559998,,,,
2019-03-20,65.610001,276.290009,,,,
2019-03-21,65.57,279.119995,,,,
2019-03-22,64.309998,275.98999,,,,
2019-03-25,64.400002,274.579987,,,,
2019-03-26,64.720001,276.440002,,,,
2019-03-27,64.75,274.720001,,,,
2019-03-28,64.589996,275.299988,,,,
2019-03-29,64.860001,277.76001,,,,
2019-04-01,65.690002,280.660004,,,,
2019-04-02,65.709999,281.230011,,,,
2019-04-03,66.220001,283.140015,,,,
2019-04-04,66.080002,282.200012,,,,
2019-04-05,66.25,283.809998,,,,
2019-04-08,66.290001,283.809998,,,,
2019-04-09,65.870003,283.0,,,,
2019-04-10,66.120003,283.420013,,,,
2019-04-11,65.980003,283.880005,,,,
2019-04-12,66.440002,285.079987,,,,
2019-04-15,66.470001,285.079987,,,,
2019-04-16,66.519997,285.920013,,,,
2019-04-17,66.709999,284.859985,,,,
2019-04-18,66.669998,284.959991,,,,
2019-04-23,66.690002,287.899994,,,,
2019-04-24,66.230003,288.440002,,,,
2019-04-25,66.18,287.779999,,,,
2019-04-26,66.449997,288.019989,,,,
2019-04-29,66.720001,289.350006,,,,
2019-04-30,66.760002,288.350006,,,,
2019-05-01,66.379997,289.910004,,,,
2019-05-02,66.279999,286.200012,,,,
2019-05-03,66.989998,288.679993,,,,
2019-05-07,65.07,284.220001,,,,
2019-05-08,65.150002,283.730011,,,,
2019-05-09,64.849998,279.450012,,,,
2019-05-10,65.330002,278.220001,,,,
2019-05-13,63.810001,276.75,,,,
2019-05-14,64.449997,279.98999,,,,
2019-05-15,64.68,280.540009,,,,
2019-05-16,65.199997,284.200012,,,,
2019-05-17,64.769997,283.279999,,,,
2019-05-20,64.510002,280.299988,,,,
2019-05-21,64.940002,281.700012,,,,
2019-05-22,64.68,281.450012,,,,
2019-05-23,64.089996,277.559998,,,,
2019-05-24,64.779999,278.230011,,,,
2019-05-28,64.150002,278.089996,,,,
