Date,EFA,CSPX.L,Euclidean,Pearson,Cosine,DTW
2019-01-03,-0.009035,-0.0147,0.362113,0.650063,0.650155,0.288771
2019-01-04,0.030621,0.020058,,,,
2019-01-07,0.003839,0.012676,,,,
2019-01-08,0.006485,0.000883,,,,
2019-01-09,0.011234,0.013709,,,,
2019-01-10,0.003921,0.000672,,,,
2019-01-11,-0.006835,0.000672,,,,
2019-01-14,-0.004588,-0.002093,,,,
2019-01-15,0.005267,0.006767,,,,
2019-01-16,0.002784,0.008136,,,,
2019-01-17,0.003592,-0.000117,,,,
2019-01-18,0.010088,0.017625,,,,
2019-01-22,-0.015464,-0.008008,,,,
2019-01-23,0.004581,-0.005292,,,,
2019-01-24,0.00114,0.002097,,,,
2019-01-25,0.011388,0.010811,,,,
2019-01-28,-0.005469,-0.011539,,,,
2019-01-29,0.002264,0.000892,,,,
2019-01-30,0.010973,0.008641,,,,
2019-01-31,0.000479,0.01529,,,,
2019-02-01,-0.000319,0.003973,,,,
2019-02-04,0.003671,0.000641,,,,
2019-02-05,0.007791,0.007608,,,,
2019-02-06,-0.005049,-0.000336,,,,
2019-02-07,-0.013321,-0.014845,,,,
2019-02-08,-0.003214,-0.002315,,,,
2019-02-11,-0.000967,0.009283,,,,
2019-02-12,0.01162,0.011836,,,,
2019-02-13,0.00016,0.003316,,,,
2019-02-14,0.000319,-0.003268,,,,
2019-02-15,0.014511,0.010431,,,,
2019-02-19,0.003772,0.003171,,,,
2019-02-20,0.002819,0.002315,,,,
2019-02-21,-0.00203,-0.002677,,,,
2019-02-22,0.003286,0.00625,,,,
2019-02-25,0.002963,0.00665,,,,
2019-02-26,0.00482,-0.003666,,,,
2019-02-27,-0.004024,-0.005683,,,,
2019-02-28,-0.001398,0.002601,,,,
2019-03-01,0.005446,0.000767,,,,
2019-03-04,-0.003714,-0.000475,,,,
2019-03-05,0.000932,0.000438,,,,
2019-03-06,-0.002483,-0.00482,,,,
2019-03-07,-0.012757,-0.009173,,,,
2019-03-08,0.000158,-0.007443,,,,
2019-03-11,0.008665,0.01567,,,,
2019-03-12,-0.000625,0.007163,,,,
2019-03-13,0.008596,0.006893,,,,
2019-03-14,-0.000155,-0.000616,,,,
2019-03-15,0.010849,0.005727,,,,
2019-03-18,0.003526,-0.000721,,,,
2019-03-19,0.001986,0.008223,,,,
2019-03-20,0.000457,-0.011697,,,,
2019-03-21,-0.00061,0.010243,,,,
2019-03-22,-0.019216,-0.011214,,,,
2019-03-25,0.0014,-0.005109,,,,
2019-03-26,0.004969,0.006774,,,,
2019-03-27,0.000464,-0.006222,,,,
2019-03-28,-0.002471,0.002111,,,,
2019-03-29,0.00418,0.008936,,,,
2019-04-01,0.012797,0.010441,,,,
2019-04-02,0.000304,0.002031,,,,
2019-04-03,0.007761,0.006792,,,,
2019-04-04,-0.002114,-0.00332,,,,
2019-04-05,0.002573,0.005705,,,,
2019-04-08,0.000604,0.0,,,,
2019-04-09,-0.006336,-0.002854,,,,
2019-04-10,0.003795,0.001484,,,,
2019-04-11,-0.002117,0.001623,,,,
2019-04-12,0.006972,0.004227,,,,
2019-04-15,0.000452,0.0,,,,
2019-04-16,0.000752,0.002947,,,,
2019-04-17,0.002856,-0.003707,,,,
2019-04-18,-0.0006,0.000351,,,,
2019-04-23,0.0003,0.010317,,,,
2019-04-24,-0.006898,0.001876,,,,
2019-04-25,-0.000755,-0.002288,,,,
2019-04-26,0.00408,0.000834,,,,
2019-04-29,0.004063,0.004618,,,,
2019-04-30,0.0006,-0.003456,,,,
2019-05-01,-0.005692,0.00541,,,,
2019-05-02,-0.001506,-0.012797,,,,
2019-05-03,0.010712,0.008665,,,,
2019-05-07,-0.028661,-0.01545,,,,
2019-05-08,0.001229,-0.001724,,,,
2019-05-09,-0.004605,-0.015085,,,,
2019-05-10,0.007402,-0.004402,,,,
2019-05-13,-0.023266,-0.005284,,,,
2019-05-14,0.01003,0.011707,,,,
2019-05-15,0.003569,0.001964,,,,
2019-05-16,0.00804,0.013046,,,,
2019-05-17,-0.006595,-0.003237,,,,
2019-05-20,-0.004014,-0.01052,,,,
2019-05-21,0.006666,0.004995,,,,
2019-05-22,-0.004004,-0.000887,,,,
2019-05-23,-0.009122,-0.013821,,,,
2019-05-24,0.010766,0.002414,,,,
2019-05-28,-0.009725,-0.000503,,,,
2019-05-29,-0.006391,-0.016793,,,,
2019-05-30,0.003765,0.002853,,,,
2019-05-31,-0.009065,-0.006492,,,,
2019-06-03,0.005836,-0.003744,,,,
2019-06-04,0.011447,0.011828,,,,
2019-06-05,-0.00031,0.00965,,,,
2019-06-06,0.004032,0.007682,,,,
2019-06-07,0.012666,0.014317,,,,
2019-06-10,0.002746,0.008786,,,,
2019-06-11,0.00502,-0.003428,,,,
2019-06-12,-0.007416,-0.00337,,,,
2019-06-13,0.000915,0.002007,,,,
2019-06-14,-0.007313,-0.000211,,,,
2019-06-17,-0.020411,0.002777,,,,
2019-06-18,0.013317,0.010588,,,,
2019-06-19,0.006184,-0.00229,,,,
2019-06-20,0.008758,0.008171,,,,
2019-06-21,-0.004265,0.006311,,,,
2019-06-24,0.002142,-0.002091,,,,
2019-06-25,-0.005953,-0.006491,,,,
2019-06-26,0.001228,-0.003941,,,,
2019-06-27,0.002454,-0.000902,,,,
2019-06-28,0.005661,0.004724,,,,
2019-07-01,0.004716,0.010856,,,,
2019-07-02,0.002877,-0.000924,,,,
2019-07-03,0.006794,0.00914,,,,
2019-07-05,-0.007649,-0.003765,,,,
2019-07-08,-0.005743,-0.001124,,,,
2019-07-09,-0.004256,-6.8e-05,,,,
2019-07-10,0.003511,0.005523,,,,
2019-07-11,-0.000304,0.003594,,,,
2019-07-12,0.001217,0.002297,,,,
2019-07-15,0.000912,0.001483,,,,
2019-07-16,-0.0041,0.0,,,,
2019-07-17,-0.001372,-0.005587,,,,
2019-07-18,0.003053,-0.005923,,,,
2019-07-19,-0.002892,0.00732,,,,
2019-07-22,0.001069,-0.005949,,,,
2019-07-23,0.006252,0.003264,,,,
2019-07-24,0.000758,0.004541,,,,
