Date,VOO,CSPX.L,Euclidean,Pearson,Cosine,DTW
2019-01-02,229.990005,244.899994,1390.61118,0.997295,0.999811,580.849672
2019-01-03,224.5,241.300003,,,,
2019-01-04,231.910004,246.139999,,,,
2019-01-07,233.649994,249.259995,,,,
2019-01-08,235.919998,249.479996,,,,
2019-01-09,237.009995,252.899994,,,,
2019-01-10,238.0,253.070007,,,,
2019-01-11,237.889999,253.240005,,,,
2019-01-14,236.580002,252.710007,,,,
2019-01-15,239.350006,254.419998,,,,
2019-01-16,239.880005,256.48999,,,,
2019-01-17,241.669998,256.459991,,,,
2019-01-18,244.919998,260.980011,,,,
2019-01-22,241.660004,258.890015,,,,
2019-01-23,242.020004,257.519989,,,,
2019-01-24,242.259995,258.059998,,,,
2019-01-25,244.320007,260.850006,,,,
2019-01-28,242.429993,257.839996,,,,
2019-01-29,242.130005,258.070007,,,,
2019-01-30,245.960007,260.299988,,,,
2019-01-31,248.009995,264.279999,,,,
2019-02-01,248.220001,265.329987,,,,
2019-02-04,249.990005,265.5,,,,
2019-02-05,251.100006,267.519989,,,,
2019-02-06,250.789993,267.429993,,,,
2019-02-07,248.330002,263.459991,,,,
2019-02-08,248.649994,262.850006,,,,
2019-02-11,248.779999,265.290009,,,,
2019-02-12,252.0,268.429993,,,,
2019-02-13,252.759995,269.320007,,,,
2019-02-14,252.199997,268.440002,,,,
2019-02-15,254.979996,271.23999,,,,
2019-02-19,255.419998,272.100006,,,,
2019-02-20,256.01001,272.730011,,,,
2019-02-21,255.080002,272.0,,,,
2019-02-22,256.609985,273.700012,,,,
2019-02-25,256.98999,275.519989,,,,
2019-02-26,256.799988,274.51001,,,,
2019-02-27,256.670013,272.950012,,,,
2019-02-28,256.070007,273.660004,,,,
2019-03-01,257.829987,273.869995,,,,
2019-03-04,256.839996,273.73999,,,,
2019-03-05,256.540009,273.859985,,,,
2019-03-06,254.899994,272.540009,,,,
2019-03-07,252.850006,270.040009,,,,
2019-03-08,252.339996,268.029999,,,,
2019-03-11,256.019989,272.230011,,,,
2019-03-12,256.929993,274.179993,,,,
2019-03-13,258.679993,276.070007,,,,
2019-03-14,258.589996,275.899994,,,,
2019-03-15,259.850006,277.480011,,,,
2019-03-18,260.779999,277.279999,,,,
2019-03-19,260.859985,279.559998,,,,
2019-03-20,259.929993,276.290009,,,,
2019-03-21,261.429993,279.119995,,,,
2019-03-22,256.459991,275.98999,,,,
2019-03-25,256.230011,274.579987,,,,
2019-03-26,258.079987,276.440002,,,,
2019-03-27,256.880005,274.720001,,,,
2019-03-28,257.880005,275.299988,,,,
2019-03-29,259.540009,277.76001,,,,
2019-04-01,262.529999,280.660004,,,,
2019-04-02,262.619995,281.230011,,,,
2019-04-03,263.109985,283.140015,,,,
2019-04-04,263.73999,282.200012,,,,
2019-04-05,265.01001,283.809998,,,,
2019-04-08,265.23999,283.809998,,,,
2019-04-09,263.829987,283.0,,,,
2019-04-10,264.73999,283.420013,,,,
2019-04-11,264.690002,283.880005,,,,
2019-04-12,266.480011,285.079987,,,,
2019-04-15,266.299988,285.079987,,,,
2019-04-16,266.48999,285.920013,,,,
2019-04-17,265.839996,284.859985,,,,
2019-04-18,266.339996,284.959991,,,,
2019-04-23,268.899994,287.899994,,,,
2019-04-24,268.369995,288.440002,,,,
2019-04-25,268.269989,287.779999,,,,
2019-04-26,269.5,288.019989,,,,
2019-04-29,269.839996,289.350006,,,,
2019-04-30,270.01001,288.350006,,,,
2019-05-01,268.040009,289.910004,,,,
2019-05-02,267.51001,286.200012,,,,
2019-05-03,270.049988,288.679993,,,,
2019-05-07,264.619995,284.220001,,,,
2019-05-08,264.100006,283.730011,,,,
2019-05-09,263.290009,279.450012,,,,
2019-05-10,264.519989,278.220001,,,,
2019-05-13,258.029999,276.75,,,,
2019-05-14,260.269989,279.98999,,,,
2019-05-15,261.809998,280.540009,,,,
2019-05-16,264.209991,284.200012,,,,
2019-05-17,262.609985,283.279999,,,,
2019-05-20,260.820007,280.299988,,,,
2019-05-21,263.029999,281.700012,,,,
2019-05-22,262.309998,281.450012,,,,
2019-05-23,259.23999,277.559998,,,,
2019-05-24,259.690002,278.230011,,,,
2019-05-28,257.359985,278.089996,,,,
2019-05-29,255.589996,273.420013,,,,
2019-05-30,256.299988,274.200012,,,,
2019-05-31,252.869995,272.420013,,,,
2019-06-03,252.119995,271.399994,,,,
2019-06-04,257.670013,274.609985,,,,
2019-06-05,259.850006,277.26001,,,,
2019-06-06,261.540009,279.390015,,,,
2019-06-07,264.149994,283.390015,,,,
2019-06-10,265.390015,285.880005,,,,
2019-06-11,265.339996,284.899994,,,,
2019-06-12,264.839996,283.940002,,,,
2019-06-13,266.019989,284.51001,,,,
2019-06-14,265.619995,284.450012,,,,
2019-06-17,265.859985,285.23999,,,,
2019-06-18,268.51001,288.26001,,,,
2019-06-19,269.220001,287.600006,,,,
2019-06-20,271.730011,289.950012,,,,
2019-06-21,271.410004,291.779999,,,,
2019-06-24,271.059998,291.170013,,,,
2019-06-25,268.380005,289.279999,,,,
2019-06-26,268.119995,288.140015,,,,
2019-06-27,267.670013,287.880005,,,,
2019-06-28,269.149994,289.23999,,,,
2019-07-01,271.440002,292.380005,,,,
2019-07-02,272.230011,292.109985,,,,
2019-07-03,274.320007,294.779999,,,,
2019-07-05,273.970001,293.670013,,,,
2019-07-08,272.600006,293.339996,,,,
2019-07-09,272.940002,293.320007,,,,
2019-07-10,274.209991,294.940002,,,,
2019-07-11,274.76001,296.0,,,,
2019-07-12,276.109985,296.679993,,,,
2019-07-15,276.179993,297.119995,,,,
2019-07-16,275.279999,297.119995,,,,
2019-07-17,273.420013,295.459991,,,,
2019-07-18,274.420013,293.709991,,,,
2019-07-19,272.950012,295.859985,,,,
2019-07-22,273.609985,294.100006,,,,
2019-07-23,275.48999,295.059998,,,,
2019-07-24,276.76001,296.399994,,,,
2019-07-25,275.410004,296.859985,,,,
2019-07-26,277.380005,298.160004,,,,
2019-07-29,276.880005,297.980011,,,,
2019-07-30,276.209991,297.380005,,,,
2019-07-31,273.079987,297.519989,,,,
2019-08-01,270.790009,297.290009,,,,
2019-08-02,268.809998,288.309998,,,,
2019-08-05,260.880005,283.079987,,,,
2019-08-06,264.23999,281.320007,,,,
2019-08-07,264.420013,282.299988,,,,
2019-08-08,269.579987,288.450012,,,,
2019-08-09,267.700012,286.76001,,,,
2019-08-12,264.559998,285.600006,,,,
2019-08-13,268.660004,288.23999,,,,
2019-08-14,260.570007,283.25,,,,
2019-08-15,261.390015,281.179993,,,,
2019-08-16,265.220001,285.23999,,,,
2019-08-19,268.480011,289.269989,,,,
2019-08-20,266.399994,288.450012,,,,
2019-08-21,268.559998,289.380005,,,,
2019-08-22,268.459991,288.350006,,,,
2019-08-23,261.570007,284.5,,,,
2019-08-27,263.429993,284.589996,,,,
2019-08-28,265.26001,285.100006,,,,
2019-08-29,268.709991,289.059998,,,,
2019-08-30,268.600006,288.880005,,,,
2019-09-03,267.109985,287.130005,,,,
2019-09-04,269.970001,290.079987,,,,
2019-09-05,273.540009,294.890015,,,,
2019-09-06,273.73999,294.910004,,,,
2019-09-09,273.809998,295.279999,,,,
2019-09-10,273.869995,292.820007,,,,
2019-09-11,275.839996,295.920013,,,,
2019-09-12,276.649994,297.959991,,,,
2019-09-13,276.579987,298.179993,,,,
2019-09-16,275.670013,296.570007,,,,
2019-09-17,276.420013,296.76001,,,,
2019-09-18,276.589996,296.579987,,,,
2019-09-19,276.529999,299.0,,,,
2019-09-20,275.049988,297.98999,,,,
2019-09-23,275.23999,296.26001,,,,
2019-09-24,272.959991,296.100006,,,,
2019-09-25,274.630005,294.269989,,,,
2019-09-26,272.790009,293.850006,,,,
2019-09-27,271.26001,295.48999,,,,
2019-09-30,272.600006,294.880005,,,,
2019-10-01,269.320007,293.359985,,,,
2019-10-02,264.570007,285.670013,,,,
