Ticker,Patron,Ventana,Ocurrencias,Frecuencia
AAPL,consecutive_up,3,178,0.14172
AAPL,volatility_squeeze,5,189,0.15316
AMZN,consecutive_up,3,180,0.143312
AMZN,volatility_squeeze,5,181,0.146677
CSPX.L,consecutive_up,3,209,0.166005
CSPX.L,volatility_squeeze,5,250,0.202102
EFA,consecutive_up,3,169,0.134554
EFA,volatility_squeeze,5,188,0.15235
GLD,consecutive_up,3,172,0.136943
GLD,volatility_squeeze,5,127,0.102917
GOOGL,consecutive_up,3,189,0.150478
GOOGL,volatility_squeeze,5,158,0.128039
IEMG,consecutive_up,3,159,0.126592
IEMG,volatility_squeeze,5,159,0.128849
META,consecutive_up,3,162,0.128981
META,volatility_squeeze,5,161,0.13047
MSFT,consecutive_up,3,178,0.14172
MSFT,volatility_squeeze,5,170,0.137763
NVDA,consecutive_up,3,197,0.156847
NVDA,volatility_squeeze,5,172,0.139384
QQQ,consecutive_up,3,213,0.169586
QQQ,volatility_squeeze,5,187,0.15154
TLT,consecutive_up,3,138,0.109873
TLT,volatility_squeeze,5,123,0.099676
TSLA,consecutive_up,3,196,0.156051
TSLA,volatility_squeeze,5,153,0.123987
VOO,consecutive_up,3,197,0.156847
VOO,volatility_squeeze,5,220,0.178282
VTI,consecutive_up,3,198,0.157643
VTI,volatility_squeeze,5,221,0.179092
XLF,consecutive_up,3,176,0.140127
XLF,volatility_squeeze,5,149,0.120746
XLK,consecutive_up,3,195,0.155255
XLK,volatility_squeeze,5,170,0.137763
