Ticker,Desv. Estandar Diaria,Volatilidad Anualizada,N Retornos
AAPL,0.020321,0.322578,1257
AMZN,0.022183,0.352138,1257
CSPX.L,0.011943,0.189592,1260
EFA,0.012628,0.200466,1257
GLD,0.009418,0.149503,1257
GOOGL,0.020057,0.318389,1257
IEMG,0.014065,0.223282,1257
META,0.027881,0.442594,1257
MSFT,0.019229,0.305252,1257
NVDA,0.03245,0.515121,1257
QQQ,0.01606,0.254951,1257
TLT,0.0111,0.176215,1257
TSLA,0.040772,0.647239,1257
VOO,0.01344,0.21335,1257
VTI,0.013643,0.216574,1257
XLF,0.016796,0.266621,1257
XLK,0.017276,0.274252,1257
