Date,VOO,CSPX.L,QQQ,VTI,EFA,IEMG,GLD,TLT,XLF,XLK,AAPL,MSFT,GOOGL,AMZN,META,NVDA,TSLA
2019-01-02,4891300.0,58019.0,58576700.0,5093200.0,38723200.0,18610800.0,12776200.0,19841500.0,62945000.0,30885800.0,148158800.0,35329300.0,31868000.0,159662000.0,28146200.0,508752000.0,174879000.0
2019-01-03,3329600.0,287542.0,74820200.0,5252900.0,35012600.0,17972900.0,15440800.0,21187000.0,65729700.0,49893400.0,365248800.0,42579100.0,41960000.0,139512000.0,22717900.0,705552000.0,104478000.0
2019-01-04,5100100.0,86487.0,74709300.0,4776900.0,47001700.0,21358500.0,13334000.0,12970200.0,64638400.0,41535600.0,234428400.0,44060600.0,46022000.0,183652000.0,29002100.0,585620000.0,110911500.0
2019-01-07,3706000.0,497565.0,52059300.0,4485100.0,30335900.0,16288600.0,7473600.0,8498100.0,48167000.0,23817200.0,219111200.0,35656100.0,47446000.0,159864000.0,20089300.0,709160000.0,113268000.0
2019-01-08,3546600.0,123117.0,49388700.0,3949400.0,26444600.0,19498600.0,7643100.0,7737100.0,90114700.0,26005200.0,164101200.0,31514400.0,35414000.0,177628000.0,26263800.0,786016000.0,105127500.0
2019-01-09,4565000.0,79492.0,46491700.0,6405100.0,34615300.0,25835100.0,10555900.0,9349200.0,61037100.0,28044800.0,180396400.0,32280800.0,26998000.0,126976000.0,22205900.0,617260000.0,81493500.0
2019-01-10,2813500.0,42799.0,38943400.0,2685700.0,33699300.0,19985100.0,6672000.0,8222900.0,48630500.0,21868200.0,143122800.0,30067600.0,26598000.0,130154000.0,16125000.0,523156000.0,90846000.0
2019-01-11,2551000.0,77772.0,30176600.0,3033800.0,40655600.0,14418700.0,8622400.0,5786900.0,44961600.0,15451200.0,108092800.0,28314200.0,30864000.0,93724000.0,12908000.0,874764000.0,75586500.0
2019-01-14,2653400.0,88689.0,30710200.0,2479400.0,28319800.0,14367400.0,6477100.0,6730500.0,50610600.0,14483800.0,129756800.0,28437100.0,28490000.0,120118000.0,20520300.0,730168000.0,78709500.0
2019-01-15,5103700.0,150342.0,40874200.0,4542100.0,35202700.0,12793100.0,7512500.0,8997400.0,59156500.0,28654000.0,114843600.0,31587600.0,37518000.0,119970000.0,24069000.0,617012000.0,90849000.0
2019-01-16,4066700.0,92164.0,33812200.0,2963100.0,38473900.0,61641600.0,6878100.0,6048400.0,72982400.0,18937000.0,122278800.0,29853900.0,38280000.0,127338000.0,18025700.0,470104000.0,70375500.0
2019-01-17,3059000.0,81469.0,39329000.0,4401100.0,28896000.0,18001500.0,8558500.0,8153400.0,55771300.0,20256800.0,119284800.0,28393000.0,24896000.0,84178000.0,15787900.0,493436000.0,55150500.0
2019-01-18,4943300.0,72105.0,57183200.0,4224900.0,39380800.0,22893200.0,10896000.0,14106400.0,58400200.0,27303200.0,135004000.0,37427600.0,44892000.0,120410000.0,31029600.0,651336000.0,362262000.0
2019-01-22,5786300.0,88801.0,56711700.0,5037900.0,36637900.0,24857000.0,7896500.0,8881100.0,79651700.0,29985000.0,121576000.0,32371300.0,39632000.0,128336000.0,22378700.0,661552000.0,181000500.0
2019-01-23,3076400.0,57777.0,38106100.0,3934200.0,21725600.0,16222400.0,5224900.0,5776800.0,44072000.0,19152200.0,92522400.0,25874300.0,25194000.0,104504000.0,20098400.0,591020000.0,187950000.0
2019-01-24,2197100.0,60330.0,32417800.0,3785200.0,21843800.0,16307400.0,5662500.0,7121900.0,25496900.0,28341800.0,101766000.0,23164800.0,29114000.0,81798000.0,20955500.0,708972000.0,120183000.0
2019-01-25,3677500.0,54847.0,36515900.0,2987300.0,31128800.0,16973600.0,11103300.0,6460800.0,63140000.0,20061600.0,134142000.0,31225600.0,23260000.0,98918000.0,22237200.0,1154572000.0,108744000.0
2019-01-28,2407800.0,346240.0,33491200.0,4371600.0,28738200.0,20562600.0,8522200.0,6435800.0,66894900.0,19324800.0,104768400.0,29476700.0,29334000.0,96754000.0,15508500.0,2511528000.0,96349500.0
2019-01-29,2436900.0,73960.0,30784200.0,2975100.0,23933700.0,12972600.0,11610200.0,5750100.0,29442100.0,17147800.0,166348800.0,31490500.0,19704000.0,92656000.0,17632100.0,1153932000.0,69325500.0
2019-01-30,6028400.0,82269.0,41346500.0,3060700.0,30465700.0,17808600.0,12104000.0,10571300.0,62076800.0,33990600.0,244439200.0,49471900.0,29452000.0,115676000.0,44613200.0,974228000.0,168754500.0
2019-01-31,5308100.0,164740.0,37258400.0,3932900.0,33012500.0,21869600.0,10209500.0,11843400.0,64021500.0,36501800.0,162958400.0,55636400.0,40232000.0,218206000.0,77233600.0,842852000.0,188538000.0
2019-02-01,3718500.0,195172.0,32143700.0,3225400.0,22056000.0,16019100.0,12485500.0,12024600.0,42920300.0,19475600.0,130672400.0,35535700.0,33116000.0,230124000.0,30806500.0,625048000.0,109251000.0
2019-02-04,2541700.0,44356.0,26718800.0,4938100.0,20260600.0,15575800.0,6878900.0,8966200.0,30362500.0,15208600.0,125982000.0,31315100.0,78408000.0,98582000.0,20036000.0,528592000.0,110281500.0
2019-02-05,3613300.0,130436.0,28156400.0,2759100.0,29367100.0,18805600.0,6291100.0,6983300.0,39094900.0,24121400.0,144406400.0,27325400.0,82296000.0,89062000.0,22557000.0,542424000.0,101142000.0
2019-02-06,2052200.0,134425.0,27970000.0,2945200.0,19675600.0,12749800.0,6595100.0,5184000.0,51542800.0,20379200.0,112958400.0,20609800.0,48256000.0,78798000.0,13281200.0,702464000.0,75577500.0
2019-02-07,3907800.0,200837.0,42036200.0,5097500.0,33930700.0,18365800.0,5935500.0,8781000.0,80395700.0,29264000.0,126966800.0,29760700.0,38298000.0,92532000.0,17517600.0,637120000.0,97809000.0
2019-02-08,2512600.0,57080.0,29020700.0,2105800.0,21440400.0,12742100.0,4235200.0,5885400.0,54911100.0,16977600.0,95280000.0,21461100.0,21766000.0,113150000.0,12561400.0,461604000.0,87663000.0
2019-02-11,2986600.0,37342.0,21434100.0,2337000.0,22453000.0,14596900.0,4821800.0,4352800.0,53115700.0,14869400.0,83973600.0,18914100.0,18498000.0,66346000.0,12811200.0,495180000.0,106945500.0
2019-02-12,5980500.0,94865.0,29722100.0,3312300.0,28176300.0,12901300.0,4271900.0,7939600.0,37671300.0,19418200.0,89134000.0,25056600.0,35036000.0,97172000.0,16292300.0,591060000.0,82764000.0
2019-02-13,3569100.0,92951.0,26094100.0,2369300.0,22923500.0,16281100.0,7640500.0,4757700.0,42969600.0,18241800.0,89960800.0,18394900.0,28042000.0,71206000.0,14205100.0,605372000.0,77124000.0
2019-02-14,3247800.0,44059.0,30326800.0,2731400.0,23166900.0,10737000.0,6276500.0,5868900.0,47630100.0,19484000.0,87342800.0,21784700.0,21106000.0,82410000.0,12755200.0,827264000.0,78012000.0
2019-02-15,2806600.0,76587.0,32521700.0,2537600.0,29544700.0,25826000.0,12190100.0,5527200.0,46880800.0,14712000.0,98507200.0,26606900.0,27826000.0,86878000.0,15504400.0,1516748000.0,58573500.0
2019-02-19,2509300.0,38733.0,19487700.0,2469900.0,19126800.0,24018100.0,15614000.0,5872800.0,23868300.0,16638200.0,75891200.0,18038500.0,21980000.0,73634000.0,14345400.0,551892000.0,62526000.0
2019-02-20,2156300.0,76406.0,32593000.0,2357400.0,27833100.0,24102000.0,8889700.0,4455800.0,27509100.0,19704200.0,104457600.0,21607700.0,24090000.0,66752000.0,11770700.0,540988000.0,107131500.0
2019-02-21,2020000.0,247277.0,25207400.0,3684900.0,19709600.0,13643800.0,8634600.0,7382500.0,46619900.0,19508200.0,68998800.0,29063200.0,33272000.0,69668000.0,15607800.0,448548000.0,133638000.0
2019-02-22,2119400.0,54299.0,27735400.0,1838400.0,19653800.0,11865500.0,5439400.0,6374600.0,26343700.0,24493200.0,75652800.0,27763200.0,29436000.0,61924000.0,15858500.0,401740000.0,86109000.0
2019-02-25,2941300.0,56062.0,32608800.0,3920000.0,21208900.0,13010200.0,4882600.0,6293500.0,33835900.0,40341000.0,87493600.0,23750600.0,26208000.0,63690000.0,18737100.0,656020000.0,99397500.0
2019-02-26,4629600.0,79328.0,21939700.0,2155200.0,23246200.0,10659200.0,5153200.0,6028900.0,35659700.0,28268000.0,68280800.0,21536700.0,35026000.0,53316000.0,13784100.0,488464000.0,128737500.0
2019-02-27,2136400.0,94155.0,25162000.0,2046800.0,19933400.0,22081000.0,7935600.0,7737300.0,42542400.0,19555000.0,111341600.0,21487100.0,22092000.0,62976000.0,12697500.0,500256000.0,167758500.0
2019-02-28,2207000.0,52242.0,25085500.0,2275100.0,27730700.0,19219000.0,7811700.0,9533400.0,39835900.0,18876600.0,112861600.0,29083900.0,27422000.0,60518000.0,11114200.0,324944000.0,157810500.0
2019-03-01,2867000.0,32867.0,31431200.0,2985100.0,26191800.0,26158200.0,16411700.0,13541100.0,82657300.0,24668000.0,103544800.0,23501200.0,34086000.0,99498000.0,11097800.0,357188000.0,343671000.0
2019-03-04,3384200.0,141324.0,38063500.0,3555400.0,22255100.0,23290700.0,10272600.0,9808500.0,76611900.0,31653000.0,109744800.0,26608000.0,35490000.0,123348000.0,18894700.0,409992000.0,256452000.0
2019-03-05,2475900.0,69707.0,22319900.0,2838000.0,22315100.0,12469000.0,7120100.0,5595200.0,39868100.0,17907600.0,78949600.0,19538300.0,40094000.0,73630000.0,28187900.0,362924000.0,281470500.0
2019-03-06,2514900.0,83841.0,27194600.0,2139600.0,14060100.0,18429200.0,4820400.0,7766700.0,43158900.0,26244200.0,83241600.0,17687000.0,23602000.0,79920000.0,21531700.0,403524000.0,155032500.0
2019-03-07,6441200.0,65720.0,39407400.0,2851800.0,29445800.0,21342900.0,6088800.0,8187200.0,62622100.0,36996600.0,99185600.0,25339000.0,30086000.0,99140000.0,18306500.0,450104000.0,141637500.0
2019-03-08,4522300.0,63953.0,39303200.0,2328000.0,21427600.0,26864200.0,10427700.0,7517600.0,55826400.0,25781400.0,95997600.0,22818400.0,23694000.0,93340000.0,13184800.0,422416000.0,132294000.0
